L,p,promedio_cluster_percolante,desviacion_cluster_percolante,media_P,desviacion_P
32,0.0000,0.00000,0.00000,0.00000,0.00000
32,0.0186,0.00000,0.00000,0.00000,0.00000
32,0.0446,0.00000,0.00000,0.00000,0.00000
32,0.0500,0.00000,0.00000,0.00000,0.00000
32,0.0810,0.00000,0.00000,0.00000,0.00000
32,0.0932,0.00000,0.00000,0.00000,0.00000
32,0.1000,0.00000,0.00000,0.00000,0.00000
32,0.1403,0.00000,0.00000,0.00000,0.00000
32,0.1704,0.00000,0.00000,0.00000,0.00000
32,0.2000,0.00000,0.00000,0.00000,0.00000
32,0.2538,0.00000,0.00000,0.00000,0.00000
32,0.2542,0.00000,0.00000,0.00000,0.00000
32,0.2587,0.00000,0.00000,0.00000,0.00000
32,0.3000,0.00000,0.00000,0.00000,0.00000
32,0.3194,0.00000,0.00000,0.00000,0.00000
32,0.4000,0.00000,0.00000,0.00000,0.00000
32,0.4120,0.00000,0.00000,0.00000,0.00000
32,0.4203,0.00000,0.00000,0.00000,0.00000
32,0.4743,0.00000,0.00000,0.00000,0.00000
32,0.5000,0.18457,0.00552,0.02000,0.04216
32,0.5203,0.27129,0.08526,0.05000,0.05270
32,0.5348,0.20763,0.06067,0.13000,0.10593
32,0.5350,0.23604,0.07459,0.10000,0.10541
32,0.5463,0.25870,0.08608,0.11000,0.11005
32,0.5500,0.27621,0.06468,0.31000,0.11005
32,0.5723,0.29749,0.08030,0.46000,0.15055
32,0.5861,0.32655,0.08960,0.51000,0.11005
32,0.5966,0.38354,0.10476,0.71000,0.15951
32,0.6000,0.37819,0.09851,0.74000,0.11738
32,0.6050,0.40102,0.10556,0.78000,0.16193
32,0.6072,0.41737,0.09962,0.81000,0.12867
32,0.6084,0.42314,0.09979,0.75000,0.14337
32,0.6443,0.54232,0.08283,0.98000,0.04216
32,0.6500,0.55015,0.09465,0.99000,0.03162
32,0.6595,0.58258,0.07662,1.00000,0.00000
32,0.6639,0.59497,0.05777,1.00000,0.00000
32,0.6965,0.65922,0.04474,1.00000,0.00000
